character,romaji,meaning
党,tou,"party, faction, clique"
協,kyou,"co-, cooperation"
総,sou,"overall, total"
区,ku/ou/kou,"ward, district"
領,ryou,"jurisdiction, dominion, territory, fief, reign"
県,ken/ka.ke,prefecture
設,setsu/mou.ke,"establishment, provision, prepare"
改,kai,"reformation, change, modify, mend, renew, examine, inspect, search"
府,fu,"borough, urban prefecture, govt, office, representative body, storehouse"
査,sa,investigate
委,i/yuda.ne,"committee, entrust to, leave to, devote, discard"
軍,gun,"army, force, troops, war, battle"
団,dan/ton,"group, association"
各,kaku/onoo,"each, every, either"
島,tou,island
革,kaku,"leather, become serious, skin, hide, pelt"
村,son/mu,"town, village"
勢,sei/zei/hazu,"forces, energy, military strength"
減,gen,"dwindle, decrease, reduce, decline, curtail, get hungry"
再,sai/sa/futata.,"again, twice, second time"
税,ze,"tax, duty"
営,ei,"occupation, camp, perform, build, conduct (business)"
比,hi/kura.be,"compare, race, ratio, Philipines"
防,bou/fuse.,"ward off, defend, protect, resist"
補,ho/ogona,supplement
境,kyou,"boundary, situation"
導,dou/michibi.,"guidance, leading, conduct, usher"
副,fu,"vice-, duplicate, copy"
算,san,"calculate, divining, number, abacus, probability"
輸,yu,transport
述,jutsu,"mention, state, speak, relate"
線,sen,"line, track"
農,no,"agriculture, farmers"
州,shuu/su,"state, province"
武,bu/mu/take.,"warrior, military, chivalry, arms"
象,shou/zou,"elephant, pattern after, imitate, image, shape, sign (of the times)"
域,iki,region
額,gaku/hita,"forehead, tablet, plaque, framed, picture, sum, amount, volume"
欧,ou/ha.,Europe
担,tan,"shouldering, carry, raise, bear"
準,jun,"semi-, correspond to, proportionate to, conform, imitate, なぞら.える のり, ひと.しい みずもり"
賞,shou,"prize, reward, praise"
辺,hen/-,"environs, boundary, border, vicinity"
造,zou/-zuku.,"create, make, structure, physique"
被,hi/kou,be subjected
技,gi,"skill, art, craft, ability, feat, performance, vocation, arts"
低,tei,"lower, short, humble, ひく.まる, semi-, correspond to, proportionate to, conform, imitate"
復,fuku,"restore, return to, revert, resume"
移,i,"shift, move, change, drift, catch, (cold, fire), pass into"
個,ko/ka,"individual, counter for articles and, military units"
門,mon,gates
課,ka,"chapter, lesson, section, department, division, counter for, chapters (of a book)"
脳,nou/dou,"brain, memory"
極,kyoku/goku,"poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48"
含,gan,"include, bear in mind, understand, cherish"
蔵,zou/sou,"storehouse, hide, own, have, possess"
量,ryou/haka.,"quantity, measure, weight, amount, consider, estimate, surmise"
型,kei,"mould, type, model"
況,kyou,"condition, situation"
針,shin/ha,"needle, pin, staple, stinger"
専,sen,"specialty, exclusive, mainly, solely"
谷,koku/kiwa.ma,"valley, きわ.める きわ.まる, きわ.まり きわ.み き.める -, ぎ.め き.まる"
史,shi,"history, chronicle"
階,kai/kizaha,"storey, stair, counter for storeys, of a building"
管,kan/ku,"pipe, tube, wind instrument, drunken talk"
兵,hei/hyou,"soldier, private, troops, army, warfare, strategy, tactics"
接,setsu/shou,"touch, contact, adjoin, piece, together"
細,sai,"dainty, get thin, taper, slender, narrow"
効,kou,"merit, efficacy, efficiency, benefit"
丸,gan/maru.,"round, full, month, perfection, -, ship, pills, make round, roll up, curl up, seduce, explain away"
湾,wan,"gulf, bay, inlet"
録,roku,record
省,sei/habu,"ministry, omit"
旧,kyuu/furu,"old, former"
橋,kyou/ha,bridge
岸,gan/ki,beach
周,shuu/mawa.,"circumference, circuit, lap"
材,za,"lumber, log, timber, wood, talent"
戸,ko,door
央,o,"center, middle"
券,ken,ticket
編,hen/amu,compile
捜,sou/shu,"search, look for, locate, シュウ"
竹,chiku/ta,bamboo
超,chou/ko.,"transcend, super-, ultra-"
並,hei/hou,"row, and, besides, as well as, line, up, rank with, rival, equal"
療,ryou,medical treatment
採,sai,"pick, take, fetch, take up"
森,shin/mo,"forest, woods"
競,kyou,compete
介,ka,"jammed in, shellfish, mediate, concern oneself with"
根,kon,"root, radical, head (pimple)"
販,han,sell
歴,reki/rekki,"curriculum, continuation, passage, of time"
将,shou/sou,"leader, commander, general, admiral, or, and again, soon, from, now on, just about"
幅,fuku,"hanging scroll, width"
般,han,"carrier, carry, all"
貿,bou,"trade, exchange"
講,kou,lecture
林,rin/haya,"grove, forest"
装,sou/shou,"attire, dress, pretend, disguise, profess"
諸,sho,various
劇,geki,drama
河,ka/ka,river
航,ko,"navigate, sail, cruise, fly"
鉄,tetsu/kuroga,iron
児,ji/ni/gei/-,"newborn babe, child, young of, animals"
禁,kin,"prohibition, ban, forbid"
印,in,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
逆,gyaku/geki,"inverted, reverse, opposite, wicked"
換,kan,"interchange, period, charge, change?"
久,kyuu/ku,"long time, old story, ヒサ.シ"
短,tan,"short, brevity, fault, defect, weak, point"
油,yu/yuu,"oil, fat"
暴,bou/baku,"outburst, rave, fret, force, violence, cruelty, outrage"
輪,rin,"wheel, ring, circle, link, loop, counter for wheels and flowers"
占,sen/urana.,"fortune-telling, divining, forecasting, occupy, hold, have, get, take"
植,shoku/u.wa,plant
清,sei/shou,"pure, purify, cleanse, exorcise, Manchu dynasty"
倍,ba,"double, twice, times, fold"
均,kin/nara.,"level, average"
億,o,"hundred million, 10**8"
圧,atsu,pressure
芸,gei/un/wa,"technique, art, craft, performance, acting, trick, stunt"
署,sho,government office
伸,shin/no.,"expand, stretch, extend, lengthen, increase"
停,tei,"halt, stopping"
爆,baku,"bomb, burst open, pop, split"
陸,riku/roku/o,"land, six"
玉,gyoku/-da,"jewel, ball"
波,ha/na,"waves, billows, Poland"
帯,tai/o,"sash, belt, obi, zone, region"
延,en/no.ba,"prolong, stretching"
羽,u/ha,"feathers, counter for birds, rabbits"
固,ko,"harden, set, clot, curdle, かた.まり かた.い"
則,soku/notto.,"rule, follow, based on, model after"
乱,ran/ron/wata.,"riot, war, disorder, disturb, みだ おさ.める"
普,fu/amane,"universal, wide(ly), generally, Prussia"
測,soku/haka,"measure, predict"
豊,hou/bu/to,"bountiful, excellent, rich"
厚,kou/a,"thick, heavy, rich, kind, cordial, brazen, shameless"
齢,rei,age
囲,i,"surround, besiege, store, paling, enclosure, encircle, preserve, keep"
卒,sotsu/shutsu,"graduate, soldier, private, die, ついに にわか"
略,ryaku,"abbreviation, strategy"
承,shou/uketa,consent
順,ju,"obey, order, turn, right, docility, occasion"
岩,gan,"boulder, rock, cliff"
練,ren/ne.,"practice, gloss, train, drill, polish, refine"
軽,kei,"lightly, trifling, unimportant, かろ.んじる"
了,ryo,"complete, finish"
庁,chou,agency
城,jou/shi,castle
患,kan/wazura.,"afflicted, disease, suffer from, be, ill"
層,sou,layer
版,han,"printing block, printing plate, edition, impression, label"
令,re,"orders, ancient laws, command, decree"
角,kaku/tsu,"angle, corner, square, horn, antlers"
絡,raku,"entwine, coil around, get caught, in, abbreviation, omission, outline, shorten, capture, plunder"
損,son,"damage, loss, disadvantage, hurt, injure, そこ.なう そこ.ねる -, そこ.ねる"
募,bo,"recruit, campaign, gather, (contributions), enlist, grow, violent"
裏,ri,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong, side"
仏,butsu/futsu,"Buddha, the dead, France"
績,se,"exploits, unreeling cocoons"
築,chiku/kizu,build
貨,ka,"freight, goods, property"
混,kon,"mix, blend, confuse, ま.ぜる こ.む"
昇,shou/nobo.,rise up
池,chi,"pond, cistern, pool, reservoir"
血,ketsu,blood
温,on/nu,"warm, あたた.まる あたた.める"
季,ki,seasons
星,sei/shou,"star, spot, dot, mark"
永,ei/naga.,"eternity, long, lengthy"
著,cho/chaku,"renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), damage, loss, disadvantage, hurt, injure, counter for suit"
誌,shi,"document, records"
庫,ko/ku,"warehouse, storehouse"
刊,kan,"publish, carve, engrave"
像,zo,"statue, picture, image, figure, portrait"
香,kou/kyou,"incense, smell, perfume, カオ."
坂,han/sa,"slope, incline, hill"
底,tei,"bottom, sole, depth, bottom price, base, kind, sort"
布,fu/nu,"linen, cloth"
寺,ji,Buddhist temple
宇,u,"eaves, roof, house, heaven"
巨,ki,"gigantic, big, large, great"
震,shin,"quake, shake, tremble, quiver, shiver"
希,ki/ke/ma,"hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal"
触,shoku,"contact, touch, feel, hit, proclaim, announce, conflict"
依,i/e/yo.,"reliant, depend on, consequently, therefore, due to"
籍,seki,"enroll, domiciliary register, membership"
汚,o,"dirty, pollute, disgrace, rape, defile, けが.らわしい よご.す, よご.れる きたな.い"
枚,mai/ba,"sheet of..., counter for flat thin, objects or sheets"
複,fuku,"duplicate, double, compound, multiple"
郵,yuu,"mail, stagecoach stop"
仲,chuu/na,"go-between, relationship"
栄,ei/you,"flourish, prosperity, honor, glory, splendor"
札,satsu/fu,"tag, paper money, counter for, bonds, placard, bid"
板,han/ban,"plank, board, plate, stage"
骨,kotsu,"skeleton, bone, remains, frame"
傾,kei,"lean, incline, tilt, trend, wane, sink, ruin, bias, かたぶ.く かた.げる, かし.げる"
届,kai,"deliver, reach, arrive, report, notify, forward"
巻,kan/ken,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts, (or book scrolls)"
燃,nen/mo,burn
跡,seki,"tracks, mark, print, impression"
包,hou/kuru.,"wrap, pack up, cover, conceal, dirty, pollute, disgrace, rape, defile, lean, incline, tilt, trend, wane, sink, ruin, bias"
駐,chuu,"stop-over, reside in, resident"
弱,jaku,"weak, frail, よわ.める"
紹,sho,"introduce, inherit, help"
雇,ko,"employ, hire"
替,tai/ka.wa,"exchange, spare, substitute, per-"
預,yo/azu,"deposit, entrust"
焼,shou/ya.ke,"bake, burning"
簡,kan,"simplicity, brevity"
章,sho,"badge, chapter, composition, poem, design"
臓,zou,"entrails, viscera, bowels"
律,ritsu/richi/re,"rhythm, law, regulation, gauge, control"
贈,zou/sou,"presents, send, give to, award to, confer on, presenting something"
照,shou/te.re,"illuminate, shine, compare, bashful"
薄,haku,"dilute, thin, weak (tea), うす.める うす.まる, うす.らぐ うす.ら-, うす.れる すすき"
群,gun/mura.ga,"flock, group, crowd, herd, swarm, cluster"
秒,byou,"second (1, 60 minute)"
奥,ou/oku/ku,"heart, interior"
詰,kitsu/kichi/tsu.,"packed, close, pressed, reprove, rebuke, blame"
双,sou/futa,"pair, set, comparison, counter for, pairs"
刺,shi,"thorn, pierce, stab, prick, sting, calling card"
純,ju,"genuine, purity, innocence, net, (profit)"
翌,yoku,"the following, next"
快,kai/kokoroyo.,"cheerful, pleasant, agreeable, comfortable"
片,hen,"one-sided, leaf, sheet"
敬,kei/kyou,"awe, respect, honor, revere, ウヤマ."
悩,nou,"trouble, worry, in pain, distress, illness"
泉,sen/izu,"spring, fountain"
皮,kegawa,"pelt, skin, hide, leather"
漁,gyo/ryou,"fishing, fishery"
荒,kou/susa.,"laid waste, rough, rude, wild, あ.らす -あ.らし"
貯,cho/takuwa,"save, store"
硬,kou,"stiff, hard"
埋,mai,"bury, be filled up, embedded, うず.める うず.まる, い.ける"
柱,chuu,"pillar, post, cylinder, support"
祭,sai,"ritual, offer prayers, celebrate, deify, enshrine, worship"
袋,tai/dai/fuku,"sack, bag, pouch"
筆,hitsu/fu,"writing brush, writing, painting, brush, handwriting"
訓,kun/kin,"instruction, Japanese character, reading, explanation, read"
浴,yoku/a.bise,"bathe, be favored with, bask in"
童,dou/wara,"juvenile, child"
宝,hou/taka,"treasure, wealth, valuables"
封,fuu/hou,"seal, closing"
胸,kyou,"bosom, breast, chest, heart, feelings"
砂,sa/sha/su,sand
塩,en,salt
賢,ken/kashiko.,"intelligent, wise, wisdom, cleverness"
腕,wan,"arm, ability, talent"
兆,chou,"portent, 10**12, trillion, sign, omen, symptoms"
床,shou,"bed, floor, padding, tatami"
毛,mou,"fur, hair, feather, down"
緑,ryoku/roku,green
尊,son/touto.,"revered, valuable, precious, noble, exalted"
祝,shuku/shuu,"celebrate, congratulate, イワ."
柔,juu/nyuu,"tender, weakness, gentleness, softness"
殿,den/ten/-do,"Mr., hall, mansion, palace, temple, lord"
濃,nou/ko.,"concentrated, thick, dark, undiluted"
