JLPT N3 Kanji List
This is not a cumulative list. (It doesn't contain the kanji needed by JLPT N4 and
below).
Kanji,,,Onyomi,,,Kunyomi,,,English
,政,,,セイ ショウ マ,,,まつりごと,,,"politics, government"
議,,,,,,,,,,"deliberation, consultation,"
,,,,,,,,,,"debate, consideration"
,民,,,ミン タ,,,,,,"people, nation, subjects"
連,,,レン -ヅ.,,,,つら.なる つら.ねる,,,"take along, lead, join, connect,"
,,,,,,,つ.れる,,,"party, gang, clique"
対,,,タイ ツイ ムカ.,,,,あいて こた.える そろ.い,,,"vis-a-vis, opposite, even, equal,"
,,,,,,,つれあ.い なら.ぶ,,,"versus, anti-, compare"
部,,,ブ -,,,,,,,"section, bureau, dept, class,"
,,,,,,,,,,"copy, part, portion, counter for"
,,,,,,,,,,copies of a newspaper or
,,,,,,,,,,magazine
合,,,ゴウ ガッ カッ - ア.ワセ,,,,あ.う -あ.う あ.い あい- -,,"fit, suit, join, 0.1"
,,,,,,,あ.い -あい あ.わす
,,,,,,,あ.わせる
,市,,,シ イ,,,,,,"market, city, town"
内,,,ナイ ダイ ウ,,,,,,,"inside, within, between, among,"
,,,,,,,,,,"house, home"
相,,,ソウ ショウ,,,あい,,,,"inter-, mutual, together, each"
,,,,,,,,,,"other, minister of state,"
,,,,,,,,,,"councillor, aspect, phase,"
,,,,,,,,,,physiognomy
定,,,,テイ ジョウ,,さだ.める さだ.まる,,,"determine, fix, establish, decide"
,,,,サダ.
