正,,,,,セイ ショウ,,ただ.しい ただ.す まさ,,,,"correct, justice, righteous,"
,,,,,マサ.,,,,,,10**40
安,,,,アン ヤス.ラ,,,やす.い やす.まる やす,,,,"relax, cheap, low, quiet,"
,,,,,,,,,,,"rested, contented, peaceful"
院,,,,イン,,,,,,,"Inst., institution, temple,"
,,,,,,,,,,,"mansion, school"
,心,,,,,,,りっしんべん,,,"heart, mind, spirit"
,界,,,,カイ,,,,,,world
教,,,,,キョウ,,おし.える,,,"teach, faith, doctrine"
,,,,,オソ.ワ
文,,,,ブン モン ア,,,ふみ,,,,"sentence, literature, style, art,"
,,,,,,,,,,,"decoration, figures, plan"
,元,,,,ゲン ガン モ,,,,,,"beginning, former time, origin"
重,,,,,ジュウ チョウ,,,え おも.い おも.り おも.なう,,,"heavy, heap up, pile up, nest"
,,,,,オ,,,かさ.ねる かさ.なる,,,"of boxes, -fold"
近,,,,,キン コン,,,,,"near, early, akin, tantamount"
,,,,,チカ.
,考,,,,コウ カンガ.,,,かんが.える,,,"consider, think over"
画,,,,,ガ カク エ,,,えが.く かく.する かぎ.る,,"brush-stroke, picture"
,,,,,カイ,,,はかりごと はか.る
,海,,,,カイ ウ,,,,,,"sea, ocean"
,売,,,,バイ ウ.レ,,,う.る,,,sell
,知,,,,チ シ.ラセ,,,し.る,,,"know, wisdom"
道,,,,ドウ トウ ミ,,,,,,,"road-way, street, district,"
,,,,,,,,,,,"journey, course, moral,"
,,,,,,,,,,,teachings
