character,romaji,meaning
きみにちょっとしたものをもってきたよ。,kimi ni chotto shi ta mono wo motsu te ki ta yo .,I brought you a little something.
何かしてみましょう。,nani ka shi te mi mashou .,Let's try something.
私は眠らなければなりません。,watashi ha nemura nakere ba nari mase n .,I have to go to sleep.
お誕生日おめでとうムーリエル！,o tanjou nichi o medetou muu rieru !,"Happy birthday, Muiriel!"
すぐに戻ります。,sugu ni modori masu .,I will be back soon.
何と言ったら良いか分かりません。,nani to itsutsu tara yoi ka wakari mase n .,I'm at a loss for words.
何と言ったらいいか・・・。,nani to itsutsu tara ii ka ・ ・ ・ .,I just don't know what to say.
私は山にいました。,watashi ha yama ni i mashi ta .,I was in the mountains.
それは最近の写真？,sore ha saikin no shashin ？,Is it a recent picture?
時間があるか分かりません。,jikan ga aru ka wakari mase n .,I don't know if I have the time.
先程、どういうわけかマイクが入りませんでした。,"sakihodo , dou iu wake ka maiku ga iri mase n deshi ta .",For some reason the microphone didn't work earlier.
この世界の教育にはがっかりしてしまう。,kono sekai no kyouiku ni ha gakkari shi te shimau .,Education in this world disappoints me.
すぐに諦めて昼寝をするかも知れない。,sugu ni akirame te hirune wo suru ka mo shire nai .,I may give up soon and just nap instead.
それはあなたが一人になりたくないからです。,sore ha anata ga hitori ni nari taku nai kara desu .,It's because you don't want to be alone.
そんなことは起きないでしょう。,sonna koto ha oki nai deshou .,That won't happen.
彼は時々変です。,kare ha tokidoki hen desu .,Sometimes he can be a strange guy.
あなたの勉強を邪魔しないようにします。,anata no benkyou wo jama shi nai you ni shi masu .,I'll do my best not to disturb your studying.
みんなもそうなのかな、と思うことくらいしかできない。,"minna mo sou na no ka na , to omou koto kurai shika deki nai .",I can only wonder if this is the same for everyone else.
長い目で見れば違ってくると思います。,nagai me de mire ba chigatsu te kuru to omoi masu .,I suppose it's different when you think about it over the long term.
私はいつも不思議な性格の方が好きだった。,watashi ha itsu mo fushigi na seikaku no hou ga suki datsu ta .,I always liked mysterious characters more.
眠った方がいいよ。,nemutsu ta hou ga ii yo .,You should sleep.
私は彼らにチケットをもう一枚送ってくれるように頼んだ。,watashi ha kare ra ni chiketto wo mou ichi mai okutsu te kureru you ni tanon da .,I told them to send me another ticket.
君は僕にとてもいらいらしている。,kun ha boku ni totemo iraira shi te iru .,You're so impatient with me.
私はそんな風には生きられない。,watashi ha sonna kaze ni ha iki rare nai .,I can't live that kind of life.
私は一時期、天体物理学者になりたかった。,"watashi ha ichi jiki , tentai butsuri gaku mono ni nari takatsu ta .",I once wanted to be an astrophysicist.
生物学は好きになれません。,seibutsu gaku ha suki ni nare mase n .,I never liked biology.
僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。,"boku ga saigo ni jibun no kangae wo tsutae ta nin ha , boku wo kichigai da to omotsu ta you da .",The last person I told my idea to thought I was nuts.
