character,romaji,meaning
ああ,aa,"Ah!, Oh!"
会う,au,"to meet, to see"
青,ao,blue
青い,aoi,blue
赤,aka,red
赤い,akai,red
明るい,akarui,bright (in reference to personality or weather); cheerful
秋,aki,fall (season)
開く,aku,"to open, to become open"
開ける,akeru,to open (v.t.)
上げる,ageru,"to raise, to lift"
朝,asa,morning
朝御飯,asagohan,breakfast
明後日,asatte,day after tomorrow
足; 脚,ashi,foot; leg
明日,ashita,tomorrow
あそこ,asoko,"there, over there, that place"
遊ぶ,asobu,to play; to spend time pleasantly; to hang out
暖かい,atatakai,warm
頭,atama,head
新しい,atarashii,new
あちら,achira,this way (polite)
暑い,atsui,"hot (in reference to weather), warm"
熱い,atsui,hot (objects)
厚い,atsui,"kind, warm(hearted), thick, deep"
あっち,acchi,over there
後,ato,afterwards (later); in the future; the rest; since then
あなた,anata,you
兄,ani,(my) older brother (humble)
姉,ane,(my) older sister (humble)
アパート,apaato,apartment (abbr.)
あの,ano,"that over there; like that, that way; um..."
浴びる,abiru,"to bathe, to shower"
危ない,abunai,"dangerous, critical"
甘い,amai,"generous, sweet"
余り,amari,not very; surplus
雨,ame,rain
飴,ame,(hard) candy
洗う,arau,to wash
在る,aru,"to be, to have"
有る,aru,"to be, to have"
歩く,aruku,to walk
あれ,are,that one (over there)
いい; よい,ii yoi,good
いいえ,iie,"no, not at all"
言う,iu,to say
家,ie,"house, home"
いかが,ikaga,"how, in what way"
行く,iku yuku,to go
いくつ,ikutsu,"how many, how old"
いくら,ikura,"how much, how many"
池,ike,pond
医者,isha,doctor; physician
椅子,isu,chair
忙しい,isogashii,"busy (people, days)"
痛い,itai,hurt; painful; sore
一,ichi,one
一日,ichinichi,one day (duration)
一番,ichiban,"best (most), first, number one"
いつ,itsu,when
五日,itsuka,five days; fifth day of the month
一緒,issho,together
五つ,itsutsu,five things
いつも,itsumo,"always, usually, every time, never (with neg. verb)"
犬,inu,dog
今,ima,now
意味,imi,"meaning, significance"
妹,imouto,younger sister (humble)
嫌,iya,"disagreeable, detestable, unpleasant"
入口,iriguchi,entrance
居る,iru,"(humble) to be (animate), to exist"
要る,iru,to need
入れる,ireru,to put in
色,iro,color
色々,iroiro,various
上,ue,"above (up, top, etc.), over, on top of"
後ろ,ushiro,"back, behind, rear"
薄い,usui,"thin, weak"
歌,uta,a song
歌う,utau,to sing
うち,uchi,home; house; my place
生まれる,umareru,to be born
海,umi,"sea, beach"
売る,uru,to sell (v.t.)
うるさい,urusai,noisy; annoying
上着,uwagi,"coat, jacket"
絵,e,a painting; a picture; a drawing
映画,eiga,"movie, film"
映画館,eigakan,"movie theater, cinema"
英語,eigo,English (language)
ええ,ee,yes
駅,eki,station
エレベーター,erebeetaa,elevator
~円,~en,Yen
鉛筆,empitsu,pencil
お~,o~,honorable ~ (honorific)
美味しい,oishii,"delicious, tasty"
多い,ooi,many; there are a lot
大きい,ookii,"big, large"
大きな,ookina,big
大勢,oozei,great number of people
お母さん,okaasan,mother (formal)
お菓子,okashi,"confections, sweets, snack"
お金,okane,money
起きる,okiru,"to get up (e.g., from sleeping); to happen"
置く,oku,to put; to lay; to place
奥さん,okusan,(someone else's) wife (hon.)
お酒,osake,sake; alcohol
お皿,osara,"plate, dish"
伯父; 叔父さん,ojisan,"uncle, middle-aged man"
おじいさん,ojiisan,"grandfather, male senior citizen"
教える,oshieru,"to teach, to inform, to instruct"
押す,osu,"to push, to press, to stamp (e.g., a passport)"
遅い,osoi,slow; (to be) late
お茶,ocha,(green) tea
お手洗い,otearai,"toilet, restroom, bathroom (lit., a place to wash one's hands)"
お父さん,otousan,father (formal)
弟,otouto,younger brother
男,otoko,"man, male"
男の子,otokonoko,boy
一昨日,ototoi,the day before yesterday
おととし,ototoshi,year before last
大人,otona,adult
お腹,onaka,stomach
同じ,onaji,"same, identical"
お兄さん,oniisan,(someone else's) older brother (formal)
お姉さん,oneesan,older sister (formal)
伯母さん; 叔母さん,obasan,aunt
おばあさん,obaasan,"grandmother, female senior-citizen"
お風呂,ofuro,a bath
お弁当,obentou,a boxed lunch
覚える,oboeru,"to learn, to commit to memory, to remember, to memorize"
おまわりさん,omawarisan,policeman (friendly term)
重い,omoi,heavy; serious
面白い,omoshiroi,"interesting, amusing"
泳ぐ,oyogu,to swim
降りる,oriru,to get off
終る,owaru,"to finish, to close"
音楽,ongaku,Music
女,onna,"woman, female"
女の子,onnanoko,girl
~回,~kai,counter for occurrences (~ times)
~階,~kai,counter for stories (floors) of a building
外国,gaikoku,foreign country; abroad
外国人,gaikokujin,foreigner
会社,kaisha,"company, corporation"
階段,kaidan,stairs
買い物,kaimono,shopping
買う,kau,to buy
返す,kaesu,to return something
帰る,kaeru,"to go back, to go home, to return"
顔,kao,face (body part)
かかる,kakaru,"it takes (amount of time, money) (v.i.)"
鍵,kagi,a lock; a key
書く,kaku,to write
学生,gakusei,student
~か月,~kagetsu,(number of) months
掛ける,kakeru,"to put on (e.g., glasses); to hang (e.g., on a wall)"
かける,kakeru,"to dial/call (e.g., phone); to sit down"
傘,kasa,"umbrella, parasol"
貸す,kasu,to lend
風,kaze,"wind, breeze"
風邪,kaze,"cold, flu"
方,kata,-- honorific form for 人 (ひと) --; way of doing
家族,kazoku,"family, members of a family"
片仮名,katakana,katakana
~月,~gatsu,month of year
学校,gakkou,a school
カップ,kappu,cup
家庭,katei,home; family
角,kado,"corner (e.g., desk, pavement)"
かばん,kaban,"bag, basket"
花瓶,kabin,(flower) vase
かぶる,kaburu,"to wear, to put on (e.g., a hat on the head)"
紙,kami,paper
カメラ,kamera,camera
火曜日,kayoubi,Tuesday
辛い,karai,hot and spicy; salty
体,karada,body; health
借りる,kariru,"to borrow, to owe"
~がる,~garu,feel
軽い,karui,"light, non-serious, minor"
カレー,karee,curry (abbr. for curry and rice)
カレンダー,karendaa,calendar
川; 河,kawa,river
~側,~gawa,~ side
可愛い,kawaii,"cute, adorable"
漢字,kanji,kanji; Chinese character
木,ki,"tree, wood, timber"
黄色,kiiro,yellow
黄色い,kiiroi,yellow
消える,kieru,"to vanish, to disappear"
聞く,kiku,"to hear, to listen, to ask"
北,kita,north
ギター,gitaa,guitar
汚い,kitanai,"dirty, unclean, filthy"
喫茶店,kissaten,café
切手,kitte,postal (postage) stamps
切符,kippu,a ticket
昨日,kinou,yesterday
九,kyuu,nine
牛肉,gyuuniku,beef
牛乳,gyuunyuu,milk
今日,kyou,"today, this day"
教室,kyoushitsu,classroom
兄弟,kyoudai,"siblings (humble), brothers and sisters"
去年,kyonen,last year
嫌い,kirai,dislike
切る,kiru,to cut; to hang up (a phone)
着る,kiru,to put on (clothes above your waist); to wear
綺麗,kirei,"pretty, clean, tidy"
キロ; キログラム,kiro kiroguramu,(abbr.) kilo (kilogram)
キロ; キロメートル,kiro kiromeetoru,(abbr.) kilo (kilometer)
銀行,ginkou,bank
金曜日,kinyoubi,Friday
九,ku,nine
薬,kusuri,medicine
下さい,kudasai,(with te-form verb) please do for me
果物,kudamono,fruit
口,kuchi,job opening; mouth
靴,kutsu,"shoes, footwear"
靴下,kutsushita,socks
国,kuni,country; place of origin
曇り,kumori,"cloudiness, cloudy weather"
曇る,kumoru,"to become cloudy, to become dim"
暗い,kurai,"dark, gloomy"
~くらい; ぐらい,~kurai gurai,approximate (quantity)
クラス,kurasu,a class
グラム,guramu,gram
来る,kuru,to come
車,kuruma,"car, vehicle"
黒,kuro,black
黒い,kuroi,black; dark
警官,keikan,police officer
今朝,kesa,this morning
消す,kesu,"to erase, to delete, to turn off power"
結構,kekkou,"splendid; enough, tolerably"
結婚,kekkon (suru),marriage (get married)
月曜日,getsuyoubi,Monday
玄関,genkan,entrance (to a house or a building)
元気,genki,"health(y), energetic"
~個,~ko,"counter for small items (e.g., fruits, cups)"
五,go,five
~語,~go,"word, language"
公園,kouen,a park
交差点,kousaten,intersection
紅茶,koucha,black tea
交番,kouban,police box
声,koe,voice
コート,kooto,"coat; court (e.g., tennis)"
コーヒー,koohii,coffee
ここ,koko,"here, this place"
午後,gogo,"afternoon, P.M."
九日,kokonoka,nine days; ninth day of the month
九つ,kokonotsu,nine things
午前,gozen,"morning, A.M."
答える,kotaeru,"to answer, to reply"
こちら,kochira,this person (polite); this way (polite)
こっち,kocchi,this person; this direction; this side
コップ,koppu,a tumbler; a glass
今年,kotoshi,this year
言葉,kotoba,language; word(s); expression(s)
子供,kodomo,child(ren)
この,kono,this
御飯,gohan,rice (cooked); meal
コピーする,kopiisuru,to copy
困る,komaru,"to be bothered, to have difficulty"
これ,kore,this one
~ころ; ~ごろ,~koro ~goro,"about, toward, approximately (time)"
今月,kongetsu,this month
今週,konshuu,this week
こんな,konna,"such, like this"
今晩,komban,"tonight, this evening"
さあ,saa,"come now, well"
~歳,~sai,~ years old
財布,saifu,wallet
魚,sakana,fish
先,saki,"future; recent, previous"
咲く,saku,to bloom
作文,sakubun,essay; composition
差す,sasu,"to raise (stretch out) hands, to raise (e.g., umbrella)"
~冊,~satsu,counter for books
雑誌,zasshi,"magazine, journal"
砂糖,satou,sugar
寒い,samui,cold (in reference to weather)
さ来年,sarainen,year after next
~さん,~san,"Mr. ~, Ms. ~"
三,san,three
